topic_id,top_word_1,top_word_2,top_word_3,top_word_4,top_word_5,top_word_6,top_word_7,top_word_8,top_word_9,top_word_10,top_word_11,top_word_12,top_word_13,top_word_14,top_word_15,top_word_16,top_word_17,top_word_18,top_word_19,top_word_20,top_word_21,top_word_22,top_word_23,top_word_24,top_word_25,top_word_26,top_word_27,top_word_28,top_word_29,top_word_30,top_word_31,top_word_32,top_word_33,top_word_34,top_word_35,top_word_36,top_word_37,top_word_38,top_word_39,top_word_40,top_word_41,top_word_42,top_word_43,top_word_44,top_word_45,top_word_46,top_word_47,top_word_48,top_word_49,top_word_50
10,pris,poid,pert,norlevo,apres,perdr,citalopram,cérazet,norset,novatrex,abilify,risperdal,charg,heur,entrain,depakot,fenofibrat,temest,caus,provoqu,être,laroxyl,tercian,perdu,anafranil,grav,varnolin,paroxétin,aid,divarius,kilos,solian,toujour,avoir,sécu,androcur,haldol,envi,vom,mang,quelqu,déjà,continu,diminu,cas,suit,stablon,donc,kg,vais
11,si,savoir,voudr,voul,aim,souhait,pouv,sav,demand,pharmacien,dir,avoir,prend,peux,pren,possibl,tout,quelqu,danger,oui,cel,patient,entre,prescr,ovul,dos,comm,bonjour,merc,don,pourr,peu,des,mem,voulu,car,bout,contracept,sait,encor,commenc,vrai,médic,just,cet,sais,grav,donc,suit,person
12,mg,exist,abilify,dosag,sertralin,zyprex,cymbalt,ml,xeroquel,tercian,amoxicillin,seroquel,tranxen,connaiss,lp,souhait,sécabl,médecin,médic,raison,beaucoup,imeth,prescr,temest,arestal,luteran,angoiss,pharmacien,biogaran,dos,solian,dolipran,atarax,insomn,gélul,prend,pantoprazol,decontractyl,gardenal,autr,pren,vrai,sandoz,débridat,somnolent,anafranil,serc,surdos,ressent,couch
13,le,tous,il,peuvent,elle,tout,douleur,aim,angoiss,antidépresseur,troubl,avoir,quel,moin,dur,fréquent,indiqu,plus,dépress,effet,mem,différent,sein,essentiel,prescr,cramp,solut,pend,cris,don,reviennent,problem,diminu,ulcer,posit,conséquent,autr,huil,rembours,conseil,person,bien,floxyfral,nocturn,mêm,miness,rep,nootropyl,vrai,bénef
14,fait,gross,zoloft,cel,noctran,séropram,sein,ça,tranxen,vrai,cyclean,art,trimordiol,poitrin,zyprex,jasmin,trinordiol,cymbalt,miren,font,lactulos,paroxetin,cycléan,sav,sipralex,encor,inject,periactin,jasminel,escitalopram,tercian,amoxicillin,effet,dorm,ca,risperdal,ludéal,stablon,codein,poid,progynov,stederil,mang,tétanos,tardyferon,ixel,médic,dir,médecin,pouss
15,pilul,jasmin,jasminel,lendemain,contracept,oubli,question,cet,pris,proteg,adepal,rapport,continu,miness,varnolin,donc,nouvel,reprendr,melodi,chang,merc,mercilon,non,leeloo,con,acné,norlevo,autr,bonjour,apres,triel,entre,minerv,trinordiol,vom,hi,comm,qlair,prend,deux,semain,minidril,ere,ver,lund,cel,microval,derni,strepsil,adépal
16,risqu,beb,surdosag,rapport,tomb,clomid,prend,lexomil,paracétamol,paracetamol,avoir,dolipran,holgyem,pren,non,pris,jasmin,san,futur,suit,oubli,pap,accoutum,périactin,dafalgan,cas,périm,grossess,surdos,dépend,myolastan,adépal,fois,carlin,depend,acupan,si,spasfon,hepatit,eme,gardasil,heparin,pens,overdos,ami,norlevo,mis,medecin,vien,revax
17,prendr,dois,peux,oubli,mem,moment,pourquoi,faut,vitamin,mid,dolipran,rep,journ,continu,pend,peut,doit,cas,possibl,dit,efferalgan,lendemain,vien,danger,notic,granul,heur,vais,temp,calcium,quand,bon,cur,préfer,ch,mieux,car,mer,suit,paracetamol,sais,fait,amoxicillin,pourr,fois,essai,avant,plac,acid,roaccutan
18,fair,dois,cas,rappel,test,plusieur,apres,oubli,vien,inject,plus,surdosag,deux,paus,faut,nuvaring,suit,hpv,hi,mélodi,an,mainten,vom,lovenox,cur,où,alor,allerg,doit,si,médecin,apre,sais,polio,lieu,pouv,compt,pris,vais,gonfl,ventr,paracétamol,fer,solian,chang,bouton,fois,patient,tout,attendr
19,regl,normal,retard,avoir,arret,microval,mélodi,plus,toujour,doulour,androcur,nuvaring,cérazet,saign,décal,abond,premi,melodi,retr,semain,rien,cycl,luteran,apre,solut,commenc,absenc,entrain,ci,apres,arriv,er,pren,pris,nouveau,avant,josacin,tres,là,derni,avanc,pert,leeloo,diu,comm,évit,pend,elle,sang,marron
20,comment,fonction,pass,agit,teintur,ça,march,mer,subutex,lysanxi,dilu,appliqu,prescrir,décal,acid,don,zinc,prépar,administr,trinodiol,prexidin,vitamin,arret,soulag,obten,épong,grippal,élimin,amin,enfant,etat,évit,sevr,mélodi,nuvaring,lexomil,mepronizin,prend,mettr,pillul,recul,toujeo,insulin,phamatex,procur,décoll,port,vais,onagr,tecfid
21,seropram,kilos,question,goutt,effet,somnolent,humeur,bizarr,pb,naus,pass,provoqu,problem,donc,autr,antidépresseur,mid,posit,til,chang,faut,soign,dos,sommeil,serest,pren,ad,indesir,don,tercian,dépend,sert,anxiet,léxomil,millepertuis,rechut,prescr,reveil,difficil,fatigu,commenc,vivr,médecin,anxiolyt,pert,asthmat,vertig,matin,lorsqu,angoiss
22,contr,indiqu,acné,solut,exist,gastro,anxiet,canc,homéopath,efficac,méningit,propranolol,col,utérus,angoiss,varicel,hépatit,dépress,gripp,médic,stress,nocturn,cramp,fatigu,chez,util,réveil,calcium,propeci,rougeol,spasmophil,remed,fervex,arnic,medic,toux,connaiss,differin,topalgic,avlocardyl,speciafoldin,spirulin,tetanos,naus,papillomavirus,papillom,naturel,bon,bêtabloqu,pourr
23,sevrag,millepertuis,symptôm,goutt,symptom,divarius,sign,effet,abilfy,palpit,xeplion,norset,syndrom,laroxyl,zoloft,difficil,tranxen,extrasystol,dû,lexomil,lisanxi,tres,fréquent,depamid,valium,dur,équanil,bromazépam,psychosomat,lysanxi,arret,noctran,trop,viendr,réapparit,conséquent,nasal,ixel,rhinit,accoutum,alprozolam,diminu,médicament,vertig,baclofen,affreux,loxapac,bien,jr,paroxetin
24,effexor,stresam,lp,trembl,list,fatigu,âge,dosag,potassium,indesir,palpit,pris,naus,mem,symptom,dur,alprazolam,mal,surmontil,jamb,caus,troubl,possibl,allerg,venlafaxin,indiqu,arret,devr,sent,normal,reven,tramadol,maximal,angoiss,vertig,brutal,entrain,pass,dbt,être,norset,mécan,irréversibl,pens,cris,augment,coût,cheuveux,posolog,beaucoup
25,seroplex,stresam,pass,fatigu,social,phob,dos,possibl,pourquoi,buspar,aid,list,normal,agit,effet,insomn,généralis,rembours,athymil,paroxétin,chang,plus,rcp,antidépresseur,parl,nefast,progress,moment,difficil,mieux,néfast,début,norset,angoiss,anxiet,instaur,médic,associ,photosensibilis,ressent,entre,démangeaison,typ,détruit,util,exact,vi,prescript,ii,conséquent
26,dian,acné,holgyem,lumali,pillul,an,chang,arret,altern,cigaret,contracept,bouton,attendr,hormonal,gener,pass,ident,acneiqu,ca,anti,dermato,spotting,plac,car,er,question,zacnan,hta,tricilest,humeur,minerv,prix,des,jasminel,don,soleil,kyst,incompatibl,march,moyen,prescr,efficac,bout,pren,evepar,conséquent,pert,migrain,varolin,quelqu
27,trait,homéopath,dur,commenc,abilify,hormonal,patient,médecin,prescr,anxiet,acné,diabet,exist,problem,pourr,angoiss,excess,taeni,phob,transpir,gardenal,contracept,rhinopharyngit,connaiss,cramp,antibio,clomid,douleur,tres,depress,apres,nouveau,strésam,début,borderlin,thorac,anti,chlamydia,tout,dépress,être,humeur,continu,chut,homeo,cheveux,allerg,migrain,pc,phytothérap
28,jour,fois,premi,pend,arret,paus,prescr,pren,dur,tous,combien,deux,commenc,er,proteg,dit,dos,apres,bout,faut,pdt,bien,des,aujourd,pris,hui,fait,cycl,posolog,ème,médecin,donc,reprendr,cel,pass,seul,lutéran,fais,ixel,apré,prescript,eme,encor,environ,trop,goutt,trois,dafalgan,rapport,derni
29,sous,normal,possibl,pert,form,jasminel,patient,tomb,spotting,présent,naus,depuis,aubagio,allait,pb,cérazet,pass,chez,mis,cel,qlair,actuel,douleur,cheveux,saign,lexomil,microval,blanch,tout,quelqu,augmentin,ressent,gardenal,cas,antibiot,cauchemard,auss,cauchemar,sanguin,leeloo,avoir,fatigu,insomn,cris,ludéal,jasmin,plus,depakot,problem,constat
30,xanax,asthme,dépend,stresam,mélang,non,retard,depend,abilify,erupt,somnifer,pass,caus,pouruqoi,fois,compatibl,cris,pourquoi,an,bêtabloqu,plan,diminu,alterna,grosses,beb,entrain,form,lysanxi,paniqu,bouton,effet,déclench,angoiss,partent,princip,boit,va,actif,anxienet,conséquent,lexotanil,combien,valium,pren,pa,troubl,nordaz,analges,tercian,famill
31,gé,daily,ludéal,leeloo,ludeal,connaiss,désobel,leelo,cb,estim,minidril,bout,agit,jonction,cher,info,enver,spotting,dang,intoler,lupus,conséquent,don,prend,efficac,pilul,passag,bronchokod,conseil,allait,pert,souc,rénal,minidrill,actif,microdos,cyclean,protege,composit,élimin,adress,retard,mauv,pilull,sept,lovavulo,problem,rien,modifi,vien
32,enceint,tomb,femm,gripp,danger,chez,effizinc,possibl,lovenox,nexplanon,prescr,efferalgan,celesten,monuril,gardenal,biocalyptol,sg,etre,apprendr,semain,qlair,tubertest,rapport,gaviscon,aid,lutenyl,pillul,clamoxyl,svp,leeloo,oubli,antibio,subutex,pris,bon,arnic,etant,vogalib,miness,donormyl,niflugel,miren,don,aim,zyrtec,vien,primperan,deven,carlin,si
33,cuivr,stérilet,miren,pos,diu,sterilet,retr,pert,douleur,saign,allerg,sang,granion,acné,suit,apres,surpoid,hypertens,abond,an,tomb,reserv,grand,retir,trop,ut,non,adult,rembours,poid,cycl,bouton,min,question,encor,tout,apre,ibuprofen,prix,sujet,sant,stéril,mettr,avoir,incovénient,ça,depuis,enlev,provoqu,corp
34,puis,don,imovan,associ,substitu,crem,fil,mettr,pend,avoir,rhinocort,boir,conduir,tramadol,extranas,seul,semain,prendr,plac,efferalgan,continu,dolipran,lutenyl,mycos,ouvert,augment,grifoni,trouv,san,apres,vom,ibuprofen,temp,gel,an,lp,deuxiem,deux,arret,si,prix,nozinan,là,boît,commenc,diminu,beaucoup,lieu,laroxyl,reprendr
35,duphaston,con,pergotim,ovul,prescr,tomb,aid,préscrir,surgeston,dang,clomid,pharmacodynam,général,associ,dois,pren,avoir,dej,absorpt,émimin,progesteron,qq,march,poudr,rien,maintient,nécessit,bloqu,consit,regim,différent,fréquenc,gynéco,tardiv,malgr,sommeil,koi,sûr,recour,réel,del,seul,temp,devr,quoi,influenc,apparus,consist,action,plusieur
36,arrêt,apres,cérazet,reprendr,acné,champix,brutal,utrogestan,fum,androcur,avoir,vertig,naus,symptôm,va,saign,décid,semain,vais,recommenc,cel,pdt,quas,leeloo,progress,seroquel,san,recomment,mainten,pend,amoxicillin,car,déroxat,aim,cour,conséquent,mal,pert,là,encor,attendr,cycl,ème,cyclo,pass,entre,zoloft,tout,dé,antady
37,cerazet,migrain,pillul,provoqu,arret,urgent,zéro,question,emploi,mod,nerveux,comm,problem,pdt,comt,rembours,recommenc,plus,prix,pert,spotting,chang,nexplanon,lendemain,symptom,charg,dois,fois,ovul,sang,petit,ere,cheveux,bloqu,côt,implanon,permanent,ça,gauch,perturb,retour,laiss,contracept,avis,aid,apre,pass,point,bien,hormonal
38,soir,matin,hi,mid,oubli,efflexor,pris,floxyfral,vendred,doit,préfer,samed,dimanch,jeud,tous,faut,prend,ver,donc,mieux,mard,alor,psy,mercred,dit,lund,vom,rapport,anafranil,lieu,dois,vaut,ovul,demain,fatigu,nuit,actuel,habitud,sach,prescr,moment,être,don,hui,cp,aujourd,habituel,tout,repr,peu
39,patch,evra,mettr,appliqu,emla,sparadrap,décoll,pos,neupro,conseil,climar,semain,question,met,enlev,humeur,recul,continu,pied,commenc,nombreux,pdt,dosag,avant,décal,cel,où,hi,comm,québec,plein,femseptcomb,mis,port,recoll,mouill,émétophob,possibl,douch,contracept,voilà,remettr,faut,er,proteg,souhait,durogesic,tatouag,moin,tas
40,effet,indésir,zoloft,progestéron,principal,indesir,posit,tardyferon,norset,négat,citalopram,ginseng,monev,tecfid,beaucoup,provoqu,stilnox,gélul,ludéal,donormyl,fosfomycin,thérapeut,ressent,prevenar,néfast,lamalin,bénef,fait,théralith,azyt,rituxan,lexomil,vogalen,lariam,mercilon,atarax,leponex,roaccutan,faut,izalg,fass,pantoprazol,melian,augment,immédiat,spasfon,pouv,orelox,alprazolam,continu
41,alcool,antibiot,compatibl,il,mildac,augmentin,antidépresseur,homéopath,consomm,boir,danger,goutt,toxiqu,dépresseur,ixprim,homeopath,antibio,mélang,anti,dang,anxiolyt,être,cortison,médic,benzo,ciflox,dolipran,amoxycilin,mauv,samed,peuvent,bois,pris,interact,xyzall,lactibian,proscr,topalgic,métronidazol,baclofen,verr,pourquoi,incompatibl,tard,entre,drogu,moder,prend,reel,peux
42,géner,dolipran,médic,exist,inexium,cycléan,jasminel,version,atarax,luteran,mercilon,triafem,jasmin,monev,prix,cher,retour,clomid,cilest,don,biogaran,moin,ça,motilium,minerv,plavix,entre,taret,nom,pravadual,trinordiol,skenan,daflon,avodart,cetirizin,clopidogrel,paroxétin,ménael,mnael,pharmacien,melodi,plac,candesartan,non,surdosag,chlormadinon,quel,pharmac,depakin,spiromax
43,quand,efficac,part,lutenyl,commenc,holgyem,posit,valium,dois,premi,arret,franc,leeloo,yaz,disponibl,prescrir,va,ere,inexium,norlevo,test,reprendr,monoprost,gaviscon,jusqu,triel,neisvac,cial,nimport,langu,mem,pens,enflé,vrai,retour,lumali,inject,doit,paracétamol,prescr,heur,commercialis,auss,recommenc,produit,des,apre,amoxicillin,bout,reviennent
44,ordon,san,trinordiol,procur,délivr,achet,advil,pharmac,faut,peux,avoir,possibl,obten,prescript,patient,acid,foliqu,inexium,altern,médecin,aluminium,disponibl,vitamin,codolipran,euphytos,homeopath,extranas,dt,xenical,polio,nécessit,rembours,problem,vermifug,humain,pharmacien,zolpidem,désobel,pommad,étrang,stress,souhait,uvédos,biomag,preserv,exist,fluimucil,millpertuis,valium,codéin
45,mois,beb,ci,depuis,enfant,dem,premi,don,nourrisson,pert,fil,kg,cel,deux,fill,celesten,moin,avant,sédat,infanrix,attendr,trop,mainten,derni,dos,saign,commenc,ror,pos,apres,plusieur,environ,er,long,rien,pdt,pend,revax,petit,brun,trois,pc,pet,quelqu,rubéol,pris,célesten,chang,mis,sein
46,utilis,huil,essentiel,être,chez,pourquoi,crem,mycos,onagr,périm,peuvent,millepertuis,femm,nuvaring,conseil,prexidin,fucidin,anneau,épilept,bourrach,preserv,patient,lamisilat,cas,suppositoir,elle,plac,enfant,monodos,beb,danger,comm,main,préserv,allait,fosfomycin,dexeryl,contracept,peux,insomn,premi,prévent,enlev,doit,cial,nux,chamomill,vergetur,augment,calendul
47,prozac,bromazepam,dépress,pass,maigr,orgasm,sait,négaif,erupt,effet,efficac,aluminium,flagyl,semain,crat,fich,cytochrom,list,journ,posolog,similair,cocaïn,question,bouton,séver,grossess,séroplex,lieu,mod,boir,prend,disent,action,dem,transitoir,problem,thérapeut,posot,mem,lp,émot,boulim,epileps,perçu,inefficac,term,poid,ensembl,soir,pert
48,plaquet,pillul,enchain,fin,trinordiol,commenc,proteg,rapport,oubli,nouvel,dois,deux,premi,non,derni,donc,avoir,semain,deuxiem,eme,paus,arret,termin,jasminel,peux,enchaîn,comm,pris,minidril,autr,recommenc,suit,jasmin,continu,hui,aujourd,reprendr,ème,lendemain,samed,des,prend,avant,suiv,repr,san,sexuel,prochain,bien,cet
49,libido,baiss,solut,zéro,nexplanon,pert,adepal,sertralin,minidril,agit,entrain,plais,ixel,sertalin,jasmin,cyclean,melodi,mélian,autr,plus,normal,stablon,cyprotéron,melian,seropam,anorgasm,trinordiol,luteran,secheress,microval,problem,pren,constat,détruit,cel,experiment,dej,mieness,émot,miness,fait,féminin,plupart,beaucoup,jou,impact,androcur,ca,fort,met
50,comprim,oubli,coup,hi,derni,boit,pris,sécabl,eme,spasfon,gélul,souhait,blanc,pass,donc,boît,deux,prend,heur,trop,celebrex,sandoz,previscan,lp,suiv,nouvel,exist,miness,er,autr,tolexin,pm,couleur,pharmacien,lutéran,il,pareil,continu,amoxicillin,habituel,avant,premi,sifrol,médecin,des,va,dois,lu,cémaflavon,jaun
