jvoudrais,voudrais
milligrammmes,milligrammes
normalemen,normalement
irritabilite,irritabilité
nervosite,nervosité
réjouissais,réjouissais
taritement,traitement
beaucoupp,beaucoup
beance,beanie
majoriter,majorité
intestinuax,intestinaux
revaccination,vaccination
jsais,sais
repenne,reprenne
déquilibre,équilibre
servrage,sevrage
apparuent,apparent
altérnance,alternance
logntemps,longtemps
athme,asthme
grossess,grosses
pasjamais,ajamais
attroces,atroces
pilue,pile
tombee,tomber
sparmes,spasmes
poseet,posent
loccurence,occurrence
peuven,peuvent
arrét,arret
rehydrater,hydrater
supossitoire,suppositoire
anevrisme,anévrisme
posotif,positif
oppréssée,oppresse
profondémment,profondément
dhier,hier
daujourdhui,aujourdhui
voualais,voulais
inquieté,inquiet
ashme,asthme
rsultat,resultat
seconadaires,secondaires
èjour,jour
tempq,temps
jaurai,aurai
aujordhui,aujourdhui
adminsitrer,administrer
encorre,encore
acunpuncteur,acupuncteur
eprouve,prouve
adulter,adulte
commener,commencer
pediatrique,pédiatrique
rembooursé,rembourse
redors,retors
qelle,elle
resenti,ressenti
ressembaient,ressemblaient
detruites,détruites
repondront,rendront
constipée,constitue
rembourssement,remboursement
aujourjui,aujourdhui
rescente,descente
symptmes,symptomes
déprimais,exprimais
remarché,remarche
noctifs,nocifs
ftigue,fatigue
exacement,exactement
tremblotte,tremblote
lalybelle,maybelle
examans,examens
encinte,enceinte
pictotements,picotements
entrainne,entraine
commercialisez,commercialiser
pillulle,pillule
nausez,causez
jutilise,utilise
cconnaissez,connaissez
aupparavant,auparavant
medcin,medecin
dangeer,danger
petzouille,patrouille
surdosade,surdose
differament,different
suporte,supporte
déconditionne,conditionne
conaissez,connaissez
synusite,sinusite
manquai,manquait
jarsin,jardin
cuilleres,cuillers
remero,romero
convultions,convulsions
ateints,atteints
attendrent,attendent
grossessse,grossesse
revomit,revoit
'involontairemen,involontairement
pdant,puant
essuyais,essayais
ordonannce,ordonnance
létranger,étranger
medicamnt,medicaments
simulaires,similaires
tabbagisme,tabagisme
declenche,déclenche
transmettions,transmettons
landemain,lendemain
mèrci,merci
disparraitre,disparaitre
epouvantables,epouvantable
nomal,normal
differrence,difference
saignemen,saignement
prisle,prise
quesqui,quesque
augmentassion,augmentation
renouvellable,renouvelable
saingements,saignements
habituee,habitude
gossesse,grossesse
bustar,buster
antidepresseur,antidépresseur
obssesions,obsessions
tristesse…,tristesse
avalais,valais
syptomes,symptomes
depressif,dépressif
reseignement,renseignement
contracetive,contraceptives
traitemen,traitement
hematocrite,hématocrite
préscrire,prescrire
metastases,métastases
interragir,interagir
prendait,prenait
plakete,planete
lotre,votre
prescript,prescrit
medicament…,medicaments
desintoxiquer,désintoxiquer
pouvaot,pouvait
debarasser,débarasser
protegeait,protégeait
commancer,commencer
tagagisme,tabagisme
soiret,soiree
occassionnellement,occasionnellement
gestue,geste
progressiveet,progressivement
nterrations,aberrations
acvant,avant
incompatibilitée,incompatibilité
précotions,promotions
ancipation,animation
prescri,prescrit
efferts,effets
prescire,prescrire
râter,rater
peuon,peron
commençer,commencer
pharmatienne,pharmacienne
irregulier,irrégulier
gastrologue,astrologue
represcrite,prescrite
dangerueux,dangereux
recommencais,recommences
derinieres,dernieres
telephoner,telephone
autoriss,autorise
precieusement,gracieusement
rrien,rien
jmenferme,enferme
gttes,gates
moiset,moise
fillait,fallait
arréte,arrete
médicments,medicaments
latuda,lauda
consitions,conditions
