ID,question
94,aspégic nourrisson epaiss il endometr
95,aim bien fair un cur de charbon vegetal mais il par que le chabon absorb tout le medic il en anul donc efficacit mem pour la pilule aim savoir si cel est vrai
96,un quart heur apres avoir prix me granul du gluconat de cuivr et de goutt de sillic colloïdal ai de palpit et me sent mal que est ce
97,ai de saign avec ma pilule melodi que je prend depuis an je ne suis que au mileu de ma plaquet est ce normal
98,peut on prescrit zoely en tant que contracept
99,est ce que on peut prendr skenan et dolipran en mêm temp
100,c est possibl d avoir le sein gonfl avec milen
101,varnolin provoqu t elle de vertig
102,quel est la dos optimal de dexorat
103,stilnox entrain t il de cauchemar
104,vous pren combien de mg du seroquel
105,prozac et bromazepam quel effet
106,peut on prescrit le dap stick boiron à la femm enceint
107,je souffr de colopath fonctionnel et il aver que la seul chos qui me fass réel du bien soit le anxiolyt malheur je suis auss atteint une hépatit c et ai donc pas droit à ce typ de médic y a t il une solut
108,haldol et parkinan quel effet secondair
109,saign sous mélian
110,surdosag tricilest quel dang
111,ai utilis elavil le naproxene a petit dos pour de problem de dos avec le celebrex était beaucoup de spasm dan le haut du dos entre le côt le problem de dos à dégéner en problem anxiet et je prend en ce moment du rivotril au soir et au couch et du desyrel auss au couche toujour se courbatur bien sûr elle pass facil au lev je crois que est le médic mais en ai pas la certitud que fair
112,quinolon et soleil
113,je prend depuis an la pillul ludeal gé à h du matin mais ce matin ai oubli de prendr ma pillul et je vien de la prendr dc en catastroph à h y a t il un quelconqu risqu
114,je prend varnolin ou du moin son géner qi appel desogestrel ethinylestradiol a la pharmac on a redon la géner comm dab mêm composit tout mais la boit a pas le mêm design et le fabric est pas le mêm dois je inquiet
115,connaiss vous un équivalent au pans opsit post opératoir
116,est il préfer de le prendr le matin ou le soir
117,a t on le droit de laiss migralgin prontalgin derri le comptoir sur le étager bien visibl de patient
118,je prend dian depuis mois je deprim pour un rien y a t il un rapport
119,polygynax chez patient sous aldar
120,celebrex exist en quel dosag
121,mal aux muscl et aux os apres avoir pris du solupred est ce normal
122,magnesi phosphoric regl tres douleur
123,dan quel cas le ginseng est il util
124,trinordiol et grossess
125,je prend melodi depuis an et là ai ce qui ressembl à de regl qui arrivent en milieu de cycl suis je toujour proteg contr une éventuel grossess
126,pillul dian elle march des la premi plaquet et pas apres mois ou plus
127,quel altern à cial
128,deroxat
129,oubl androcur conseil
130,je prend la pilule triafem quand on oubl un compris avec une triphas est ce que ça se pass comm avec une monophas je veux dir mêm avec différent dosag peut on enchaîn le plaquet en cas oubl de derni semain et si on enchaîn est seul le compris de la derni couleur ou tout la plaquet
131,vaccin curat rag toujour en dang
132,tanganil megamag effet secondair
133,comt prendr cerazet ere fois
134,de quoi est compos le dolipran
135,a quoi sert le stablon
136,qui con le rhophylac
137,quel sont le sign de surdosag en mysolin
138,rotarix et effet secondair
139,est ce que le vaccin contr a méningit peut déclench de malad inflammatoir auto immun
140,bonjour je prend dian depuis an et elle est tres bien pour moi mais je voudr arret et en prendr une qui ne soit que une contracept quel sont le autr pilule qui ne sont pas néfast pour la peu mais toutefois qui sont uniqu contracept merc bocou
141,de haut et de bas avec norset est normal
142,quel est la dur de valid du vaccin contr la fievr jaun
143,euphytos médic ou placebo
144,vaccin dtp enfin disponibl
145,je ai plus de regl est ce à caus de la pillul melodi que ai pris depuis mois
146,pas de question sur un medic
147,a quoi sert le chamomill vulgar
148,duphaston et grossess
149,phosphorus ch et gelsemium ch ca sert a quoi
150,est ce que jasminel est la mem pillul que yasminel
151,patch climar comment utilis
152,une pharmacien appel car elle souhait savoir pourquoi il exist deux dci ibuprofen disponibl ibuprofen tev mg et ibuprofen tev sant mg et pourquoi il y a une différent de prix entre le deux
153,quel est la class thérapeut du seropram
154,quel est le dem vi de adalimumab
155,bonjour bonjour voil utilis depuis peu la pilule jour et arrêt jour svp aurr aim savoir ce que il faut fair lorsqu il y a apparit de regl dur le sept jour arrêt début la second plaquet ou attendr le e jour pour le fair là je suis complet perdu car je pens que me menstruat ser venu apres le jour merc
156,avec lisanxi y a t il pas trop de problem de sevrag
157,jaim vous demand si le tercian abilify sulfarlem et seroplex don un mal de bras
158,peut on don de omeprazole à un chat sous corticoïd
159,mois de microval et effet secondair
160,je prend chaqu matin mg de lexomil quel sont le effet secondair
161,que est ce que la surgeston
162,clomid est il risqu en cas de fibrom
163,quel est le vaccin contr la méningit
164,est il normal avoir de vom en pren ixel
165,qui con le guronsan
166,que est ce que le gallicum acidum
167,je suis sous effexor ce week end ai bu beaucoup ou verr de whisky au bout du e ou e ai commenc à me sent tres mal pens vous que est effexor qui a fait cet effet
168,info sur triafem
169,je suis enceint oflocet est il déconseil
170,une solut contr le réveil nocturn
171,ludéal h ou h de marg
172,bonjour je suis actuellemnt sous seroplex mg je suis ateint une agoraphob assez sever ains que un troubl paniqu avec depersonalis je suis mon trait depuis plus un mois et aucun amelior toujour auss paniqu de eloign de mon domicil et quand je suis a mon domicil est pas mieux peur paniqu être seul peur de la nuit qui tomb etc je vis un enfer mon general a dis augument le seroplex à mg mais ca me fais peur que en pens vous
173,est ce que la pris de gélul harpagophytum peut caus une augment import du diabet du patient et si oui pourquoi
174,peut on propos irbesartan pend grossess
175,pdt combien de temp le effet secondair à arrêt du deroxat
176,cycléan et mycos
177,combien de temp dur effet de xénical
178,que est ce que tricilest
179,comparaison relpax imigran
180,apres mois et dem de seropram citalopram son gener san effet sur moi ma psy a prescr hi seroplex qq'un peut il témoign à propos de son action
181,le antibiot provoquent il de remont gastriqu
182,silic complex puis je en prendr pend ma grossess
183,y a t il une version géner de cycléan
184,quel est le vaccin contr le canc du col de utérus
185,je dois prendr solupred cortison pour un kyst dan le poignet mais le docteur a bien dit pas de sel et ni de sucr le moin possibl pourquoi cel
186,la sertalin jou t elle sur la libido
187,je dois me fair oper la poitrin vaut il mieux se prendr opium ch la veil ou au réveil de anesthes
188,est ce que la pilule desobel gé don de migrain
189,question sur abilify
190,en ce qui concern la délivr du tranxen si la posolog est de par jour que fait on
191,lévonorgestrel pris avant ovul jusqu ou ça peut proteg
192,trimgel et depakot
193,je prend mianserin et atarax le soir pour insomn et je ressent effet invers est ce normal
194,effet de norlevo sur la grossess
195,est ce que je risqu de tomb enceint avec carlin
196,spotof vous connaiss
197,quel vaccin fair mainten que le dtp est plus dispo
198,argil alo vero à utilis sur part intim
199,géner de jasmin
200,essenc de marron inde où en trouv
201,le xanax en caus
202,clarithromycin ampicillin
203,que elle est la différent de dosag hormon entre mélian et miren ou implanon
204,est ce que ma dos de seropram est pas trop faibl
205,ai souvent de prescrit de nebcin célesten gentamicin solumedrol tout sous form inject et prescrit ensembl en nébulis tout sont hor amm en voi aérosol et cel a pas été test apres le laboratoir que fair
206,que fair si ai oubli daily gé un soir
207,xeroquel contr anxiet à faibl dosag mg quel en sont le effet secondair
208,on a prescr microval est ce que cet pilule est effect des la premi pris que est ce que cel fait si je commenc la plaquet alor que je ai pas encor me regl
209,deroxat reveil la nuit
210,rispéridon chez adult hyperact
211,est ce que nous pouvon substitu le prescrit de dexeryl et toplexil par le géner rembours
212,bonjour je suis sous seropram et atarax depuis mois je vais mieux concern me attaqu de paniqu et angoiss mais parcontr ai du mal à dorm et surtout ai de cris de rir partout dan la ru chez moi ai impress de deven débil je ris pour une rien mem tout seul dev écran de mon pc c le ad
213,risperdal convient parfait contr le phob que en pens vous
214,où met vous le patch evra pour être sur que il ne se décoll pas
215,une question sur minesse ou sur une pilule min dos est il possibl que me regl ne viennent pas san que je sois pour aut enceint
216,je pren de orgametril et mainten je prend du surgestone au chang pend le premi mois ai oubli de prendr une pilule et je ai pris h apres ensuit ai eu de saign pend jour mais tres léger et ai trouv me regl bizarr ai fait un test de grosses était négat est ce que il y a de chanc que je sois enceint
217,xolair amm en franc
218,la colpotrophin peut elle empêch la nidat de ovul dan endometr
219,seropram avec un autr antidépresseur
220,haldol a t il de effet secondair
221,baclofen est il anxyolit
222,quel altern au meningitec en cas de ruptur
223,ai tre mal a la tet ai donc pris un upfen d habitud je ne prend que du dolipran et apre avoir pris je me suis rendu compt que la dat de perempt est je m inquiet un peu pens que ce est pas grav
224,quel tisan pour maigr
225,xeplion haut risqu de parkinson
226,un patient a demand de alkylglycerol contenu dan de huil de foi de requin pour régul son cholestérol ne voul plus prendr de statin est ce quil a vrai cet propriet
227,enceintr et vogalib
228,est ce bon de prendr de corticoïd quand on se fait vaccin
229,est ce que le cial gener a la mem composit que le cial original
230,a cel qui utilisent trinordiol effet secondair
231,trait cystit simpl en premi intent
232,sterilene au cuivr et acné
233,visag bouff est ce que est à caus du lexomil
234,faut il prendr amoxicilline pend le rep pour limit le effet indésir
235,utilis le patch evra et ça inquiet un peu de fois ai de sup naus et de maux de venir et je me demand vrai si je suis enceint
236,comment le antidiabet diminuent il la glycem
237,ai pris minesse pour la ere fois mais au bout de jour ai toujour me regl cel veut dir que cet pilule ne me convient pas ou dois je encor attendr mois ou avant de le savoir
238,dian et se géner
239,androcur et pas de regl
240,une profond fatigu peut elle être la caus de clamoxyl
241,je vais prendr la pilule minesse et aim savoir si minesse stop le regl ou nous le avon en ayant un flux moin abond elle est tout de mêm efficac le er jour de regl
242,je reprend varnolin et ai eu un oubl pourr vous aid si vous avez été dan une tel situat
243,je dois prendr de amoxicilline x jour ai commenc le trait hi soir à h h mais cet nuit ai oubli de me réveil et je ai donc pris à h est ce grav
244,ephedrin rembours
245,y a il un risqu de grosses pend la semain arrêt de dian
246,que est ce que lyric
247,un trait umatrop pour une fill de mois pouv vous me dir a long term si il y a de risqu pour sa sant
248,dois je évit certain aliment avec le kardegic ai peur que efficac var
249,quel est la version non géner de escitalopram
250,le person qui ont eut a prendr de la norfloxacin ont eut de effet secondair à part la photosensibilis
251,le l aid t il à brul maigr
252,a quoi sert le médic speciafoldin
253,est ce que on doit arrêt le deroxat si on a envi un beb
254,subutex depend o bout de combien de jour
255,ai eu quelqu problem acné et je voul savoir si en me fais mettr un implant je risqu de voir ce affreux bouton réapparaitrent
256,quel typ de médic est le seroplex
257,je suis sous cérazet depuis qq mois mnt depuis semain environ ai de pert blanch beaucoup plus abond que habitud dois je inquiet
258,quel vaccin contr le canc du col de uterus
259,exist t il un géner du médic inexium mg
260,je prend melodi mais le mois derni ai eu de saign lor de la eme semain de ma plaquet ce mois ci ça recomment de plus bel et le saign sont vrai comm un pet debut de regl et plus import est du a quoi a votr avis
261,cial disponibl au québec
262,peut on utilis la phytothérap dan le trait de insomn
263,quand fair vaccin neisvac chez nourrisson
264,quel sont le effet secondair du prozac et effexor
265,abilify mg vous connaiss
266,mon medecin a prescr du xanax et du stilnox cepend ai impress que le stilnox gener commenc a ne plus me fair effet faudr il que je lui demand plutot de imovan et quel sont le effet secondair
267,gemzar et cisplatin
268,propranolol contr anxiet oui ou non
269,est ce que il y en a qui ont déjà réuss à diminu le dos de norset et à dorm normal
270,quel trait homéopath contr le cramp
271,de la méthadon pour remplac le contramal
272,prevenar pour quel indiqu et c
273,quel s est sont le s risqu s rencontr s si accouch avant inject de rhophylac
274,je souffr urticair solair un médecin a conseil du calcium mg le problem est que je ne sais pas si je peux trouv ça en franc est ce que quelqu un peut me dir il exist un médic mêm géner de ce typ et si jam il faut une ordon
275,pilule du lendemain et cerazet
276,la gynéco a fais une piqur de gonadotrophin et depuis hi ai de douleur dan le venir est ce que de person peuvent éclairc un peu
277,c quoi neisvac
278,ai un épanch de synov apparu spontan je suis allé voir une homéopath qui a prescr de compris de rib nigrum foli mais est trop cher ai découvert que bryoni est indiqu dan le épanch ains que apis mellific je pens prendr bryoni en ch est ce correct
279,le lyric quelqu un con
280,je souhait avoir de avis sur le effet de implant
281,exist il de intéract entre le maxalt et le propranolol
282,trinordiol san ordon
283,quel sont le vaccin possibl dur un début de grossess
284,alcool et antibiot
285,ai de eczem suit à la pris extranaz que dois je fair
286,qui est sous lodoz
287,ma gynéco a demand de fair le vaccin boostrix diphter tétanos cocqueluch mais je suis enceint de semain je me pos donc la question si est danger pour mon futur beb
288,diu en cuiv disponibl au planning familial
289,est ce que le bisoprolol crister bisoprolol hémifumarat peut bien substitu le cardensiel bisoprolol fumarat
290,effet de ovul lomexin
291,granions de cuivr sont il reserv aux adult
292,advil entrain t il de cramp normal
293,y a t il un risqu pour le beb a naîtr de prendr oméprazol
294,ai une boit de paracetamol qui expir en est raison de le consomm ou est ce danger
295,le sag femm ont le droit de prescrit une pilule contracept mais dan quel condit
296,carrenc en fer quel trait
297,si une mauvais réaction ou si de compliqu suivent un vaccin contr hépatit b combien de temp apres inject cel ariv t il du moin à part de quand peut on se dir que il y a pas de mauvais réaction ou compliqu
298,ai fais une erreur en utilis nuvaring apres avoir mis mon ème anneau je ai retir semain trop tôt et san voir mon erreur en ai mis un autr tout de suit entre temp ai eu de rapport à risqu est ce que il y a donc un risqu de grosses ou est ce que ce risqu est ecart vu que un autr anneau a été inser just apres
299,sevrag seroplex tres difficil
300,quel est le nombr limit de bas de compress délivr en an
301,le fenofibrat provoqu t il une pris de poid
302,grosses magnesium autoris
303,le schem vaccinal habituel est et mois sav vous quel est la fourchet toler entre chaqu dos
304,desole de fair chie mon mond dit moi e ce que cerazet peu fair avoir une erupt cutane sur le corp apre mois de pris j ai vu le dermato il me dit alerg a la lessiv ou a un gel douch ou savon ou autr mais ca fais un mois que ca dur la crem ne fais rien ca gratt sur le corp venir bras sous le sein entre le cuiss comm la roseol ca fais et ca gratt tu a une ide toi car la j en peu plus ce drol tout ca merc et encor desole
305,je prend la pilule minidril depuis un mois et depuis quas le premi jour de pris mon moral est pas top je pleur tres souvent et a autr moment je suis tres heureux est ce que me symptom peuvent etre dus a la pilul
306,help dépend ixprim
307,une prépar en pharmac nous demand quel est la quantit de lactos contenu dan le letrozol eg
308,carenc en fer que fair
309,veratran et apne du someil
310,que est ce que orgastoro
311,je vien de lir la notic qui dit que je dois prendr yaz apres la fin de ma pilule holygiem alor que la gynéco a dit de la prendr le er jour de me regl alor quand dois je la prendr
312,exomuc dérembours
313,mon médecin me prescr du depakote mais il par que ce médic peut fair gross ceux qui en pren est ce que vous avez gross
314,depuis que ai pris la pillul jasminel y a quelqu mois avais de petit tach de sang ou marron san gravit aujourdhui ai de saign comm le début de regl assez leg je ne sais pas ce que il faut que je fass
315,que y a t il dan le vaccin priorix
316,est ce que le tranxen augment appet et don envi de mang
317,vaccin bcg à mon fil de mois
318,je prend du bromazepam combien de temp dur effet rebond decr dan la notic
319,ludéal gé et doxy gé & rubozinc bon ménag
320,je prend minidril et ai du oubli un compris et je ne ai pa repr je voul savoir si aret le mard comm habitud ou si je prend t le comprim
321,souffr de difficult érect quelqu un a il déjà utilis un remed homéopath si oui lequel et avec quel résultat
322,effexor et âge
323,enceint sous trait de gardenal mg est ce un problem
324,stresam et lexomil
325,dang du minol à long term
326,comment fonction le colécalciférol
327,peut on propos lercanidipin pend grossess
328,trinordiol fait elle gross
329,je suis pass sous diu cuivr ai mainten de plaqu roug de bouton sur le deux jou que fair
330,combien de temp dur le effet indésir du vaccin ror
331,peut on prendr de dolipran et nurofen en mem temp
332,quel sont le princip actif du stalevo
333,enchaîn de plaquet adepal et repris
334,une patient trait par colpotrophin crem et ovul inquiet car urologu de son mar a préconis évit le rapport sexuel pend que elle est trait par colpotrophin pour évit affect le troubl prostat de son mar
335,effexor et serest et avlocardyl jr
336,ma femm utilis belar depuis mois elle vient de anonc que elle a de douleur dan un sein et que elle sen la presenc un petit corp qui fait mal pouv vous me dir si ca peux ven de pillul belar
337,je termin ma plaquet desobel g dimanch soir je vais avoir le regl quelqu jour apres est à dir jeud si ai de rapport sexuel avec mon ami est ce que pend cet périod de quelqu jour je suis tout de mêm proteg
338,exist t il de coup fil vendus au détail
339,effet secondair possibl chibroproscar
340,atarax a t il une fort liaison au protéin plasmat
341,ixel et libido quel effet
342,rejet
343,un retard de regl sous erythrocin est ce normal
344,une femm enceint peut elle prendr du sirop stodal
345,qui con remicad
346,mard et vendred ai carr oubli de prendr me pillul minidril et jai fin ma plaquet dimanch soir je ai pas encor me regl mais depuis hi soir jai bien mal au bas du venir sa tir et une impress que me regl vont arriv mais rien pens vous que il y ai de risqu que je sois enceint avec ce oubl
347,peut on prendr de anxiolyt en mêm temp que tili tomentos
348,est ce que le vitamin en cachet font gross
349,ai achet aujourdhui pot de spirulin en poudr de la marqu flam vert je ne sais pas comment utilis
350,a quoi sert le laroxyl
351,temest est il rembours
352,mon médecin me fait chang de pilule actuel je suis a minesse enfin ai pris le derni compris actif hi il me rest donc le placebo puis je commenc jasminel aujourd'hui
353,est ce que la mélatonin est rembours
354,vaccin contr hépatit b
355,le gel kin prestig est quoi dedan
356,est ce que microval entrain un retard de regl
357,laroxyl effet secondair
358,hyopkaliem est elle un effet indésir de la fosfomycin
359,peut on écras le compris de ropinirol lp pour le dissoudr dan eau
360,deroxat paroxétin perim e risqu connus
361,reaction bizarr a la josacin allerg
362,acid nitriqu ch indiqu
363,strepsils et pilul
364,quel est le géner de deroxat
365,amlodipin peut il provoqu dysphon
366,était en semain arret et ai oubli de recommenc une plaquet je suppos que je vais devoir attendr le prochain regl pour recommenc une plaquet ca peut prendr du temp non
367,puis je fair un test de grosses semain apres le rappor
368,plus un diu comport de cuivr et plus efficac augment mais le cuivr ne peut il pas auss etre toxiqu pour la femm y a t il vrai aucun risqu pour la sant mêm dan de cas exeptionnel
369,piscin apres vaccin est possibl
370,je suis sous daily gé je voudr savoir il faut que je pren la plaquet suiv à enver pour évit avoir me regl
371,quel est le dosag recommand effexor
372,cystin et selenium
373,je prend du zoloft depuis semain pil je ne sen pas que cel fait effet est ce normal quant antidépresseur commenc a fair effet
374,pris de poid avec dian
375,miren rembours
376,est ce que le cac ou exist en compris à suc
377,ai pris norlevo en fin de matin tout allait bien jusqu a ce soir ai de palpit e ce un effet inndésir
378,depuis que ma fill prend clamoxyl elle est tres excit ne dort quas pas a une respir tres rapid est ce normal
379,utrogestan et pris de poid
380,je me sus fait pos un stérilet en cuivr flex t voic semain a me premier regl depuis la pos qui ont été extrem abond ai fait plusieur malais et baiss de tension cel se calm t il avec le temp
381,ai fait hi un vaccin celui gardasil et ce soir il est possibl que je boiv de alcool pens vous que cel soit danger
382,je suis enceint et que je prend clamoxyl y a til de risqu
383,dian chez un patient avec antécédent embol pulmonair
384,tegretol est il un régul de humeur
385,morphin possibl pend grossess
386,pas de question sur un medic
387,quel est le risqu de tomb enceint à caus un oubl de pilul
388,voil depuis environ smain g mal o sein de pert blanch et de picotemment d le bas du venir pens v que cec pe etre de sign de grosses je prend stediril comm pillul
389,est ce que je prend de risqu pour ma sant cardiaqu et ma fertil dej bass en pren la pilul
390,effexor et norset
391,le stablon ser il un placebo
392,ai habitud de prendr du lexomil mais je souhait réduir le dos est ce que je peux coup le compris en ou en mem
393,calconel quelqu un a t il de infos sur ce sujet
394,mon médecin a prescr mg de prozac à la plac de mg de paroxetin par jour mais ne pouv me pass de paroxetin je prend mg de deux qn peut me dir le effet de ce mélang
395,au bout de combien de semain le effet secondair du seropram disparaissent
396,est quoi effexor
397,le cymbalt vous a t il fait perdr du poid
398,bonjour voic mon souc ai arret dian le mai ai donc eu me regl le je dev donc reprendr le mon medecin a fais pass à une pilule microdos typ minesse que ai commenc à prendr le mai ma question est sach que je ai èpas pris le compris à temp et que je ne le ai pas inger dan combien de temp ser je proteg dois je prendr tout la plaquet de compris merc avanc
399,medic peut on melang du solupred et ibuprofen
400,est ce que un stérilet trop grand peut provoqu de effet secondair
401,sur le feuillet art est ce que le dépass par exempl bas de content sont pris en charg ou à la charg du patient
402,xanax ixel stilnox le effet de er jour partent qd
403,optimizet et gros saign
404,jasmin & jasminel équivalent
405,je prend la patch evra depuis plus un an environ ai comm une erreur de dat en retir avant la fin de la semain le iem patch jous trop tôt le risqu sont élev ou pas
406,puis je me procur avlocardyl san ordon
407,un hoquet peut il être provoqu par doxycyclin
